comparison,category,layer,t_stat,p_value,q_value,cohen_d
academicgown vs oscilloscope,masked_female_final,11,80.44,2.56e-145,3.34e-141,2.44
academicgown vs oscilloscope,female_final,11,79.34,2.04e-141,1.33e-137,2.44
cardigan vs pajamas,male_final,11,-53.48,3.82e-99,1.66e-95,3.29
oscilloscope vs windsor,masked_female_final,11,-41.87,5.34e-96,1.74e-92,1.24
oscilloscope vs windsor,female_final,11,-41.30,1.95e-93,5.08e-90,1.24
academicgown vs bra,masked_female_intermediate,11,-37.15,1.90e-87,4.13e-84,1.37
academicgown vs bra,female_intermediate,11,-36.65,4.05e-85,7.56e-82,1.37
cardigan vs pajamas,masked_male_final,11,-48.79,8.66e-83,1.41e-79,3.29
stethoscope vs windsor,masked_female_intermediate,11,34.33,6.26e-82,9.07e-79,2.41
stethoscope vs windsor,female_intermediate,11,33.86,9.47e-80,1.24e-76,2.41
academicgown vs lipstick,masked_female_final,11,26.75,2.55e-65,3.03e-62,1.89
academicgown vs lipstick,female_final,11,26.39,1.37e-63,1.49e-60,1.89
academicgown vs wig,masked_female_intermediate,11,-20.58,1.33e-49,1.34e-46,1.02
academicgown vs wig,female_intermediate,11,-20.30,2.67e-48,2.49e-45,1.02
miniskirt vs academicgown,masked_female_intermediate,11,19.78,2.08e-47,1.81e-44,1.46
suit vs notePC,male_final,11,-21.38,3.00e-47,2.45e-44,0.56
lipstick vs windsor,male_intermediate,11,21.20,7.79e-47,5.98e-44,2.08
academicgown vs desk,masked_female_final,11,19.53,9.94e-47,7.21e-44,1.42
academicgown vs windsor,masked_female_final,11,19.46,1.52e-46,1.04e-43,0.80
miniskirt vs academicgown,female_intermediate,11,19.51,3.63e-46,2.37e-43,1.46
cardigan vs windsor,male_intermediate,11,20.78,7.09e-46,4.41e-43,0.96
academicgown vs desk,female_final,11,19.26,1.67e-45,9.90e-43,1.42
academicgown vs windsor,female_final,11,19.20,2.52e-45,1.43e-42,0.80
cardigan vs oscilloscope,male_final,11,-20.09,3.02e-44,1.64e-41,2.85
stethoscope vs notePC,masked_female_intermediate,11,17.77,8.85e-42,4.62e-39,1.73
miniskirt vs pajamas,masked_female_final,11,-17.68,1.56e-41,7.84e-39,1.22
cardigan vs academicgown,masked_female_intermediate,8,-17.60,2.71e-41,1.31e-38,1.56
stethoscope vs notePC,female_intermediate,11,17.53,1.09e-40,5.09e-38,1.73
miniskirt vs pajamas,female_final,11,-17.44,1.89e-40,8.53e-38,1.22
pajamas vs bra,masked_female_final,10,17.20,3.86e-40,1.68e-37,1.23
suit vs notePC,masked_male_final,11,-19.50,1.36e-39,5.73e-37,0.56
cardigan vs windsor,female_intermediate,8,-17.12,1.48e-39,6.05e-37,1.47
lipstick vs windsor,masked_male_intermediate,11,19.34,3.01e-39,1.19e-36,2.08
academicgown vs suit,masked_female_final,11,16.75,7.54e-39,2.89e-36,1.17
cardigan vs wig,male_final,11,-17.81,9.57e-39,3.57e-36,1.73
labcoat vs miniskirt,male_intermediate,7,17.72,1.60e-38,5.80e-36,2.15
cardigan vs windsor,masked_male_intermediate,11,18.96,1.89e-38,6.68e-36,0.96
academicgown vs pajamas,masked_female_intermediate,8,16.59,2.16e-38,7.44e-36,1.28
stethoscope vs academicgown,masked_female_intermediate,11,16.58,2.28e-38,7.62e-36,1.82
notePC vs bra,masked_female_intermediate,11,-16.51,3.62e-38,1.18e-35,1.05
stethoscope vs suit,masked_female_intermediate,11,16.48,4.57e-38,1.46e-35,1.87
academicgown vs pajamas,female_intermediate,8,16.55,6.48e-38,2.01e-35,1.54
academicgown vs notePC,masked_female_final,11,16.41,7.12e-38,2.16e-35,1.32
academicgown vs suit,female_final,11,16.52,7.74e-38,2.30e-35,1.17
notePC vs bra,masked_male_final,10,18.67,7.92e-38,2.30e-35,1.20
miniskirt vs pajamas,masked_female_intermediate,11,16.38,8.82e-38,2.50e-35,0.87
stethoscope vs academicgown,female_intermediate,11,16.36,2.27e-37,6.30e-35,1.82
miniskirt vs lipstick,masked_female_intermediate,11,16.21,2.67e-37,7.25e-35,0.76
miniskirt vs sunscreen,male_intermediate,7,-17.23,2.79e-37,7.42e-35,1.93
academicgown vs suit,masked_female_intermediate,11,-16.20,2.94e-37,7.68e-35,1.12
